# Generated test vector for ALU-32-BIT.
A[32] B[32] Op[4] Sa[5] C[32] V
# Edge cases.
0 0 0 0 0 0
0 0 0 1 0 0
0 0 0 31 0 0
0 0 1 0 0 0
0 0 1 1 0 0
0 0 1 31 0 0
0 0 15 0 0 0
0 0 15 1 0 0
0 0 15 31 0 0
0 1 0 0 1 0
0 1 0 1 0 0
0 1 0 31 0 0
0 1 1 0 1 0
0 1 1 1 0 0
0 1 1 31 0 0
0 1 15 0 -1 0
0 1 15 1 -1 0
0 1 15 31 -1 0
0 4294967295 0 0 4294967295 0
0 4294967295 0 1 2147483647 0
0 4294967295 0 31 1 0
0 4294967295 1 0 4294967295 0
0 4294967295 1 1 4294967295 0
0 4294967295 1 31 4294967295 0
0 4294967295 15 0 1 0
0 4294967295 15 1 1 0
0 4294967295 15 31 1 0
1 0 0 0 0 0
1 0 0 1 0 0
1 0 0 31 0 0
1 0 1 0 0 0
1 0 1 1 0 0
1 0 1 31 0 0
1 0 15 0 1 0
1 0 15 1 1 0
1 0 15 31 1 0
1 1 0 0 1 0
1 1 0 1 0 0
1 1 0 31 0 0
1 1 1 0 1 0
1 1 1 1 0 0
1 1 1 31 0 0
1 1 15 0 0 0
1 1 15 1 0 0
1 1 15 31 0 0
1 4294967295 0 0 4294967295 0
1 4294967295 0 1 2147483647 0
1 4294967295 0 31 1 0
1 4294967295 1 0 4294967295 0
1 4294967295 1 1 4294967295 0
1 4294967295 1 31 4294967295 0
1 4294967295 15 0 2 0
1 4294967295 15 1 2 0
1 4294967295 15 31 2 0
4294967295 0 0 0 0 0
4294967295 0 0 1 0 0
4294967295 0 0 31 0 0
4294967295 0 1 0 0 0
4294967295 0 1 1 0 0
4294967295 0 1 31 0 0
4294967295 0 15 0 -1 0
4294967295 0 15 1 -1 0
4294967295 0 15 31 -1 0
4294967295 1 0 0 1 0
4294967295 1 0 1 0 0
4294967295 1 0 31 0 0
4294967295 1 1 0 1 0
4294967295 1 1 1 0 0
4294967295 1 1 31 0 0
4294967295 1 15 0 -2 0
4294967295 1 15 1 -2 0
4294967295 1 15 31 -2 0
4294967295 4294967295 0 0 4294967295 0
4294967295 4294967295 0 1 2147483647 0
4294967295 4294967295 0 31 1 0
4294967295 4294967295 1 0 4294967295 0
4294967295 4294967295 1 1 4294967295 0
4294967295 4294967295 1 31 4294967295 0
4294967295 4294967295 15 0 0 0
4294967295 4294967295 15 1 0 0
4294967295 4294967295 15 31 0 0
# Random tests (N=1000).
1572631480 3645616041 15 13 -2072984561 1
2163721987 2048400380 3 12 0 0
3766895552 4286553780 3 17 0 0
1930345401 117250582 6 13 1978900911 0
181667649 1440931813 10 18 1622599462 0
812637199 2602482807 6 26 2876334200 0
