# Generated test vector for SIGNED-ADD-32-BIT.
A[32] B[32] Cin C[32] V
# Edge cases.
0 0 0 0 0
0 0 1 1 0
0 1 0 1 0
0 1 1 2 0
0 -1 0 -1 0
0 -1 1 0 0
0 2147483647 0 2147483647 0
0 2147483647 1 -2147483648 1
0 -2147483648 0 -2147483648 0
0 -2147483648 1 -2147483647 0
1 0 0 1 0
1 0 1 2 0
1 1 0 2 0
1 1 1 3 0
1 -1 0 0 0
1 -1 1 1 0
1 2147483647 0 -2147483648 1
1 2147483647 1 -2147483647 1
1 -2147483648 0 -2147483647 0
1 -2147483648 1 -2147483646 0
-1 0 0 -1 0
-1 0 1 0 0
-1 1 0 0 0
-1 1 1 1 0
-1 -1 0 -2 0
-1 -1 1 -1 0
-1 2147483647 0 2147483646 0
-1 2147483647 1 2147483647 0
-1 -2147483648 0 2147483647 1
-1 -2147483648 1 -2147483648 0
2147483647 0 0 2147483647 0
2147483647 0 1 -2147483648 1
2147483647 1 0 -2147483648 1
2147483647 1 1 -2147483647 1
2147483647 -1 0 2147483646 0
2147483647 -1 1 2147483647 0
2147483647 2147483647 0 -2 1
2147483647 2147483647 1 -1 1
2147483647 -2147483648 0 -1 0
2147483647 -2147483648 1 0 0
-2147483648 0 0 -2147483648 0
-2147483648 0 1 -2147483647 0
-2147483648 1 0 -2147483647 0
-2147483648 1 1 -2147483646 0
-2147483648 -1 0 2147483647 1
-2147483648 -1 1 -2147483648 0
-2147483648 2147483647 0 -1 0
-2147483648 2147483647 1 0 0
-2147483648 -2147483648 0 0 1
-2147483648 -2147483648 1 1 1
# Random tests (N=100).
-429446045 95949180 0 -333496865 0
847164457 1759347383 0 -1688455456 1
-1940950301 -501446349 0 1852570646 1
-1017995353 1651209783 0 633214430 0
1124755858 -1052191330 0 72564528 0
-1613108149 1756855681 0 143747532 0
-325034830 1694624194 0 1369589364 0
-201077340 -435865489 0 -636942829 0
1791712805 536956804 0 -1966297687 1
433726380 290328145 0 724054525 0
-1413776955 1694415644 0 280638689 0
1861541126 -1227648529 0 633892597 0
474346221 -2130908680 0 -1656562459 0
147218575 1634584945 0 1781803520 0
-2067611420 -1137643914 0 1089711962 1
681966620 -1095798098 0 -413831478 0
-949175558 605234055 0 -343941503 0
-889264637 -839560968 0 -1728825605 0
2096713931 1398530748 0 -799722617 1
262989071 1647930493 0 1910919564 0
-1964560682 1912862302 0 -51698380 0
143656836 -469030433 0 -325373597 0
-284931107 1294159837 0 1009228730 0
-58357361 -1472687221 0 -1531044582 0
218809080 537581284 0 756390364 0
-1374315646 854635552 0 -519680094 0
1944243074 -1778679380 0 165563694 0
-1678435729 133915241 0 -1544520488 0
-344993025 1668880500 0 1323887475 0
1196442928 -1015046780 0 181396148 0
300823932 -1139087506 0 -838263574 0
1175247870 1458816675 0 -1660902751 1
-412635917 -19155450 0 -431791367 0
1816203346 -1493075100 0 323128246 0
101170923 -1156341953 0 -1055171030 0
289912921 678407088 0 968320009 0
-1080108447 270361221 0 -809747226 0
907615798 -894088748 0 13527050 0
-1579103210 525295929 0 -1053807281 0
-1410730707 927306656 0 -483424051 0
-584479068 -941753028 0 -1526232096 0
314970889 -376783927 0 -61813038 0
669330386 -591821959 0 77508427 0
1817043988 1208569515 0 -1269353793 1
1591308560 -1565570775 0 25737785 0
519451172 1726875423 0 -2048640701 1
1034741771 -903506119 0 131235652 0
-457943168 -1898694 0 -459841862 0
1489707015 1218011445 0 -1587248836 1
360314816 760475774 0 1120790590 0
1160784501 -1504047157 0 -343262656 0
-2014828792 844474222 0 -1170354570 0
1438205785 -1593376855 0 -155171070 0
130141162 1915324730 0 2045465892 0
29945398 1659626255 0 1689571653 0
-95966879 64444326 0 -31522553 0
-1898462012 770554710 0 -1127907302 0
-1021027998 2047811891 0 1026783893 0
-1228699361 -1608635517 0 1457632418 1
-2051729167 1083375661 0 -968353506 0
-1107758528 1404677262 0 296918734 0
-1179968060 1208734059 0 28765999 0
-1854608910 -1327648844 0 1112709542 1
1489795194 -306483130 0 1183312064 0
1557956567 -2085392396 0 -527435829 0
1083273332 -750393098 0 332880234 0
-1085221183 -1568942845 0 1640803268 1
-1120031328 -212525859 0 -1332557187 0
-1351868873 310418453 0 -1041450420 0
1803573748 1254230452 0 -1237163096 1
-296844850 -344728621 0 -641573471 0
-1504627954 139743417 0 -1364884537 0
-1896596078 1828386438 0 -68209640 0
-869208450 1714043431 0 844834981 0
205386533 192557968 0 397944501 0
1636353448 1722814253 0 -935799595 1
-1124198793 -1924889621 0 1245878882 1
-1637184598 1325437726 0 -311746872 0
1770907405 -709079452 0 1061827953 0
1034523291 -1165297139 0 -130773848 0
-304621555 1384705231 0 1080083676 0
-1609307643 -651827493 0 2033832160 1
-2132304168 -1436792841 0 725870287 1
-596435223 -2026650882 0 1671881191 1
337592047 1955798270 0 -2001576979 1
-878548924 774342688 0 -104206236 0
878873584 1548602470 0 -1867491242 1
1465527717 1885892312 0 -943547267 1
-2103946496 773927183 0 -1330019313 0
32342288 1792821365 0 1825163653 0
-1589747206 -1045001329 0 1660218761 1
1567135343 1656217250 0 -1071614703 1
1626338986 1804070021 0 -864558289 1
1943228859 -858720979 0 1084507880 0
-1384749918 -1832271922 0 1077945456 1
-1627749790 1148468818 0 -479280972 0
757734550 -1782616671 0 -1024882121 0
-421045361 982534256 0 561488895 0
-2100498551 -223812259 0 1970656486 1
-613870166 649608053 0 35737887 0
