# Generated test vector for ADD-SUB-32-BIT.
A[32] B[32] sub C[32] V
# Edge cases.
0 0 0 0 0
0 0 1 0 0
0 1 0 1 0
0 1 1 -1 0
0 -1 0 -1 0
0 -1 1 1 0
0 2147483647 0 2147483647 0
0 2147483647 1 -2147483647 0
0 -2147483648 0 -2147483648 0
0 -2147483648 1 -2147483648 1
1 0 0 1 0
1 0 1 1 0
1 1 0 2 0
1 1 1 0 0
1 -1 0 0 0
1 -1 1 2 0
1 2147483647 0 -2147483648 1
1 2147483647 1 -2147483646 0
1 -2147483648 0 -2147483647 0
1 -2147483648 1 -2147483647 1
-1 0 0 -1 0
-1 0 1 -1 0
-1 1 0 0 0
-1 1 1 -2 0
-1 -1 0 -2 0
-1 -1 1 0 0
-1 2147483647 0 2147483646 0
-1 2147483647 1 -2147483648 0
-1 -2147483648 0 2147483647 1
-1 -2147483648 1 2147483647 0
2147483647 0 0 2147483647 0
2147483647 0 1 2147483647 0
2147483647 1 0 -2147483648 1
2147483647 1 1 2147483646 0
2147483647 -1 0 2147483646 0
2147483647 -1 1 -2147483648 1
2147483647 2147483647 0 -2 1
2147483647 2147483647 1 0 0
2147483647 -2147483648 0 -1 0
2147483647 -2147483648 1 -1 1
-2147483648 0 0 -2147483648 0
-2147483648 0 1 -2147483648 0
-2147483648 1 0 -2147483647 0
-2147483648 1 1 2147483647 1
-2147483648 -1 0 2147483647 1
-2147483648 -1 1 -2147483647 0
-2147483648 2147483647 0 -1 0
-2147483648 2147483647 1 1 1
-2147483648 -2147483648 0 0 1
-2147483648 -2147483648 1 0 0
# Random tests (N=100).
534852834 77935565 0 612788399 0
1573779178 -877283968 1 -1843904150 1
-1826735801 -1654631619 0 813599876 1
-999332824 -1139283855 1 139951031 0
-661865720 377120792 0 -284744928 0
-1192476191 -1458723874 0 1643767231 1
-1469461316 1788658389 0 319197073 0
-10633328 443674417 1 -454307745 0
-1454288957 -351791467 1 -1102497490 0
984005335 1477213504 0 -1833748457 1
1212337040 -808435292 0 403901748 0
2090184352 -795861895 0 1294322457 0
-1360664650 -475628294 0 -1836292944 0
2069174854 -744409681 0 1324765173 0
-945681829 841456298 0 -104225531 0
1374887934 -430817822 0 944070112 0
-517873576 -1880241055 1 1362367479 0
14899874 -1853249667 1 1868149541 0
-1265994598 891284598 1 2137688100 1
-1176178601 322756530 0 -853422071 0
-1287491593 901537168 1 2105938535 1
239439614 -327577122 0 -88137508 0
192203919 110010582 1 82193337 0
931902151 -1352451613 1 -2010613532 1
-1796629002 1342166226 1 1156172068 1
669098750 -2016251873 0 -1347153123 0
-279240898 -677553752 0 -956794650 0
599484973 596064732 0 1195549705 0
-2000520983 -128125838 1 -1872395145 0
-1539281435 -1420242843 0 1335443018 1
401074656 -475390736 0 -74316080 0
1926293191 1169775504 1 756517687 0
-1905790328 1508774673 0 -397015655 0
-911021882 -496995030 0 -1408016912 0
-431133252 -2082999755 1 1651866503 0
178784149 237898710 0 416682859 0
-878663938 -1891238581 1 1012574643 0
1496395286 -648332489 1 2144727775 0
559308036 1568824045 1 -1009516009 0
-113837773 2113537684 0 1999699911 0
1908517100 -2067574425 0 -159057325 0
-2021325742 -1318563787 0 955077767 1
1802065819 -2081382897 0 -279317078 0
-1772625700 218439554 1 -1991065254 0
1800983546 -1200522677 1 -1293461073 1
-1927601591 -1040686463 0 1326679242 1
-313326650 560754257 1 -874080907 0
-421109607 1715931323 0 1294821716 0
-1210211769 17957549 0 -1192254220 0
-268091221 -283547814 0 -551639035 0
1223302998 94214636 1 1129088362 0
-886191268 -724660416 0 -1610851684 0
-293803051 805935280 1 -1099738331 0
1358854854 1787617249 0 -1148495193 1
1675157446 -768998874 0 906158572 0
-1704320458 -1632462300 0 958184538 1
1689865296 -2001571243 0 -311705947 0
445382639 -1974490627 1 -1875094030 1
20254893 1776505240 0 1796760133 0
1844643840 -490792505 1 -1959530951 1
-893130382 18201679 0 -874928703 0
818725827 -1284417047 1 2103142874 0
-514081558 1103352792 0 589271234 0
126316927 -994774688 1 1121091615 0
525887151 -1223184883 1 1749072034 0
-620743203 -1700930474 1 1080187271 0
984579646 -1125000742 0 -140421096 0
827793608 -108857539 1 936651147 0
1859343351 1431149672 0 -1004474273 1
91329197 425660985 0 516990182 0
-1144330854 480568278 0 -663762576 0
-1700140999 342992899 1 -2043133898 0
1469729876 141538976 1 1328190900 0
-103863746 1459786332 0 1355922586 0
-1267220345 86562687 0 -1180657658 0
-356856302 -1400069618 1 1043213316 0
-903919598 610513009 0 -293406589 0
1889130894 865420384 0 -1540416018 1
1941717636 1142765271 1 798952365 0
-1285875329 1102635741 0 -183239588 0
180771225 -1804653955 0 -1623882730 0
1936926361 -1095754190 1 -1262286745 1
-917756269 779118293 0 -138637976 0
-860313847 -1156654671 0 -2016968518 0
160294245 -785378318 1 945672563 0
1434093140 -283290467 1 1717383607 0
-1536687904 1456872748 1 1301406644 1
1931003912 1260833304 1 670170608 0
1343532986 1892375564 0 -1059058746 1
-1924103664 173412468 1 -2097516132 0
1365212518 353189510 1 1012023008 0
489198066 -1961903054 1 -1843866176 1
-1520650448 1729440797 1 1044876051 1
59740137 -1087910588 1 1147650725 0
-1416124861 1628005415 1 1250837020 1
-641072521 -964387335 0 -1605459856 0
1939635684 -797467049 0 1142168635 0
996300981 -870495679 0 125805302 0
-410486331 1321528668 0 911042337 0
458581861 1105142700 1 -646560839 0
