# Generated test vector for LEFT-RIGHT-SHIFT-32-BIT.
B[32] Sa[5] left arith C[32]
# Edge cases.
0 0 0 0 0
0 0 0 1 0
0 0 1 0 0
0 0 1 1 0
0 1 0 0 0
0 1 0 1 0
0 1 1 0 0
0 1 1 1 0
0 31 0 0 0
0 31 0 1 0
0 31 1 0 0
0 31 1 1 0
1 0 0 0 1
1 0 0 1 1
1 0 1 0 1
1 0 1 1 1
1 1 0 0 0
1 1 0 1 0
1 1 1 0 2
1 1 1 1 2
1 31 0 0 0
1 31 0 1 0
1 31 1 0 2147483648
1 31 1 1 2147483648
4294967295 0 0 0 4294967295
4294967295 0 0 1 4294967295
4294967295 0 1 0 4294967295
4294967295 0 1 1 4294967295
4294967295 1 0 0 2147483647
4294967295 1 0 1 4294967295
4294967295 1 1 0 4294967294
4294967295 1 1 1 4294967294
4294967295 31 0 0 1
4294967295 31 0 1 4294967295
4294967295 31 1 0 2147483648
4294967295 31 1 1 2147483648
# Random tests (N=100).
4095422985 30 1 0 1073741824
4168072841 31 1 1 2147483648
1031767643 14 1 1 3784753152
1288667216 11 0 0 629232
329466423 6 1 0 3905981888
566982381 11 0 1 276846
266919565 3 0 0 33364945
371436054 26 0 0 5
746343295 26 1 0 4227858432
2141884760 14 1 0 2757099520
3567226939 19 1 1 2178416640
4029406901 24 0 1 4294967280
2750450783 16 1 0 2355036160
457075197 14 0 0 27897
1576721343 15 0 0 48117
1486660840 6 1 0 657013248
1662428575 25 1 1 1040187392
2749111030 1 0 0 1374555515
1159617234 6 1 1 1201058944
3180287464 10 0 0 3105749
782509739 23 0 1 93
2621434415 9 0 0 5119989
479394413 10 0 0 468158
2567676486 22 1 0 2441084928
3498586606 20 1 0 517996544
3140818143 0 1 0 3140818143
1942320743 6 1 1 4049443264
1036281760 4 0 0 64767610
173910171 5 1 1 1270158176
2320206123 0 0 1 2320206123
897243355 17 0 1 6845
2775494057 2 1 1 2512041636
4224087135 19 1 1 2734161920
2604278015 29 0 0 4
3565055699 18 0 0 13599
3267302977 10 1 1 4233692160
3869657968 14 1 1 2463891456
2349609553 28 1 1 268435456
835118140 14 1 1 3104768000
2042507014 26 1 1 402653184
1119045489 12 1 1 880218112
1280470818 9 0 1 2500919
2020860247 17 0 0 15417
3276933233 5 1 1 1782648352
91481194 6 1 1 1559829120
3428114820 20 1 1 406847488
2873523877 1 1 1 1452080458
3994113627 26 1 1 1811939328
725333953 0 1 0 725333953
2049276419 14 1 1 1585496064
4151412029 8 1 0 1904557312
328304965 18 0 1 1252
1569312238 10 1 1 657963008
787425157 18 0 0 3003
659976556 31 1 1 0
1292599360 2 0 0 323149840
2794945446 17 0 0 21323
3291088380 23 0 0 392
815453121 0 0 1 815453121
15484647 13 1 0 2296176640
2742768657 20 1 1 1091567616
1397106490 15 1 1 329056256
529293920 23 0 0 63
672664961 18 0 0 2566
3574457395 21 1 1 2254438400
327439930 23 1 1 486539264
1176521361 4 1 1 1644472592
3004994690 30 1 0 2147483648
784760348 25 0 1 23
865798082 16 0 0 13211
1390663834 0 1 1 1390663834
2285483350 28 1 0 1610612736
1878087200 13 0 1 229258
2352335137 2 0 0 588083784
3707135554 17 0 0 28283
3216739887 15 0 1 4294934391
249639892 1 0 1 124819946
3509745952 31 0 0 1
4177306379 7 0 0 32635206
1452713275 3 1 0 3031771608
3858704687 11 1 0 4182341632
1102912892 9 1 1 2050684928
3349846487 25 1 0 2919235584
2115321957 29 0 1 3
2045098033 26 1 0 3288334336
2107019159 12 0 1 514408
3301854353 23 0 0 393
1946733710 7 0 1 15208857
3257759874 11 0 0 1590703
2785872974 3 1 0 812147312
946817993 18 1 1 790888448
3885781118 29 0 1 4294967295
3117586860 21 0 0 1486
1171156946 1 1 1 2342313892
2851936572 21 0 1 4294966607
3560997832 21 1 1 2030043136
756583301 29 0 1 1
2042922822 19 1 0 976224256
561144320 16 1 0 1644167168
2695119781 24 0 0 160
