# Generated test vector for LEFT-SHIFT-32-BIT.
B[32] Sa[5] Cin C[32]
# Edge cases.
0 0 0 0
0 0 1 0
0 1 0 0
0 1 1 1
0 31 0 0
0 31 1 2147483647
1 0 0 1
1 0 1 1
1 1 0 2
1 1 1 3
1 31 0 2147483648
1 31 1 4294967295
4294967295 0 0 4294967295
4294967295 0 1 4294967295
4294967295 1 0 4294967294
4294967295 1 1 4294967295
4294967295 31 0 2147483648
4294967295 31 1 4294967295
# Random tests (N=100).
131650120 30 0 0
237737255 30 0 3221225472
1502403209 26 0 603979776
3639964311 18 0 3395026944
3728252786 15 0 1337524224
4163299573 22 0 1027604480
1250065767 3 0 1410591544
4121239517 1 0 3947511738
493286720 1 0 986573440
1234831068 24 0 3690987520
2564477295 28 0 4026531840
3520197627 16 0 4093313024
2571286883 16 0 3110273024
446137333 20 0 1062207488
3073171925 29 0 2684354560
707429291 16 0 2209021952
2884378191 16 0 508493824
2477277598 30 0 2147483648
2677783086 21 0 1170210816
4132942173 16 0 2975662080
2041478661 2 0 3870947348
2843636490 1 0 1392305684
1231784764 6 0 1524813568
3538197119 24 0 2130706432
3849095962 1 0 3403224628
2899201428 0 0 2899201428
1550661740 29 0 2147483648
906566193 24 0 822083584
3379254048 7 0 3047788544
4126150077 1 0 3957332858
3706430392 19 0 499122176
1155821272 17 0 3719299072
4209154166 13 0 1393475584
4242657533 8 0 3788569856
2484642974 15 0 1380909056
952300359 7 0 1635361664
1953086895 8 0 1774038784
1545271480 7 0 226253824
4122565369 28 0 2415919104
4242450444 12 0 3934306304
2096802876 27 0 3758096384
2426945951 10 0 2701556736
3624896100 0 0 3624896100
1947379719 17 0 1343094784
1543020399 20 0 4142923776
258820063 6 0 3679582144
1021448785 23 0 679477248
3660148548 29 0 2147483648
2778486580 14 0 365756416
822652512 9 0 291291136
408800951 12 0 3706417152
2556568650 0 0 2556568650
3389204019 22 0 2361393152
3300102681 13 0 1917001728
2562834791 23 0 3011510272
3164179871 26 0 2080374784
1779175417 11 0 1618987008
2999768216 29 0 0
792426854 18 0 3851943936
337959664 12 0 1303314432
3673346050 14 0 3019931648
3236543836 1 0 2178120376
3341410037 15 0 4017782784
295957490 28 0 536870912
375068934 8 0 1528366592
3759986685 19 0 3219652608
3959064246 20 0 1801453568
3143767641 16 0 374931456
114330369 7 0 1749385344
3078714919 18 0 3634102272
2103685624 9 0 3345215488
1737462688 26 0 2147483648
3627907558 5 0 128924864
1783629917 16 0 140312576
2635475945 18 0 2946760704
3084769895 23 0 864026624
88542167 14 0 3270885376
2878195829 10 0 924963840
967914904 11 0 2309799936
1422878197 7 0 1739782784
1946699725 19 0 1047003136
3167042895 4 0 3428046064
2189942225 8 0 2279461120
1642885938 10 0 2982987776
3889020802 8 0 3451879936
4145750466 14 0 3362816000
2698387743 24 0 520093696
567069538 12 0 3434487808
2655585918 26 0 4160749568
1645058816 9 0 456523776
4257144735 9 0 2109685248
1231913797 13 0 2959646720
3033069104 29 0 0
2298691823 30 0 3221225472
829835078 0 0 829835078
2961101202 7 0 1063831808
216702574 28 0 3758096384
4186976622 0 0 4186976622
1895899014 22 0 3783262208
2532673961 0 0 2532673961
