# Generated test vector for ALU-32-BIT.
# These tests were generated by a computer program to include both exhaustive edge case tests and random tests.
A[32] B[32] Op[4] Sa[5] C[32] V
# Edge cases.
0 0 0 0 0 0
0 0 0 1 0 0
0 0 0 31 0 0
0 0 1 0 0 0
0 0 1 1 0 0
0 0 1 31 0 0
0 0 2 0 1 0
0 0 2 1 1 0
0 0 2 31 1 0
0 0 3 0 0 0
0 0 3 1 0 0
0 0 3 31 0 0
0 0 4 0 0 0
0 0 4 1 0 0
0 0 4 31 0 0
0 0 5 0 1 0
0 0 5 1 1 0
0 0 5 31 1 0
0 0 6 0 0 0
0 0 6 1 0 0
0 0 6 31 0 0
0 0 7 0 -1 0
0 0 7 1 -1 0
0 0 7 31 -1 0
0 0 8 0 0 0
0 0 8 1 0 0
0 0 8 31 0 0
0 0 9 0 0 0
0 0 9 1 0 0
0 0 9 31 0 0
0 0 10 0 0 0
0 0 10 1 0 0
0 0 10 31 0 0
0 0 11 0 0 0
0 0 11 1 0 0
0 0 11 31 0 0
0 0 12 0 0 0
0 0 12 1 0 0
0 0 12 31 0 0
0 0 13 0 0 0
0 0 13 1 0 0
0 0 13 31 0 0
0 0 14 0 0 0
0 0 14 1 0 0
0 0 14 31 0 0
0 0 15 0 0 0
0 0 15 1 0 0
0 0 15 31 0 0
0 1 0 0 1 0
0 1 0 1 0 0
0 1 0 31 0 0
0 1 1 0 1 0
0 1 1 1 0 0
0 1 1 31 0 0
0 1 2 0 1 0
0 1 2 1 1 0
0 1 2 31 1 0
0 1 3 0 0 0
0 1 3 1 0 0
0 1 3 31 0 0
0 1 4 0 1 0
0 1 4 1 1 0
0 1 4 31 1 0
0 1 5 0 0 0
0 1 5 1 0 0
0 1 5 31 0 0
0 1 6 0 1 0
0 1 6 1 1 0
0 1 6 31 1 0
0 1 7 0 -2 0
0 1 7 1 -2 0
0 1 7 31 -2 0
0 1 8 0 1 0
0 1 8 1 1 0
0 1 8 31 1 0
0 1 9 0 0 0
0 1 9 1 0 0
0 1 9 31 0 0
0 1 10 0 1 0
0 1 10 1 1 0
0 1 10 31 1 0
0 1 11 0 1 0
0 1 11 1 1 0
0 1 11 31 1 0
0 1 12 0 1 0
0 1 12 1 2 0
0 1 12 31 -2147483648 0
0 1 13 0 1 0
0 1 13 1 2 0
0 1 13 31 -2147483648 0
0 1 14 0 -1 0
0 1 14 1 -1 0
0 1 14 31 -1 0
0 1 15 0 -1 0
0 1 15 1 -1 0
0 1 15 31 -1 0
0 -1 0 0 -1 0
0 -1 0 1 2147483647 0
0 -1 0 31 1 0
0 -1 1 0 -1 0
0 -1 1 1 -1 0
0 -1 1 31 -1 0
0 -1 2 0 1 0
0 -1 2 1 1 0
