# Generated test vector for SIGNED-ADD-32-BIT.
# These tests were generated by a computer program to include both exhaustive edge case tests and random tests.
A[32] B[32] Cin C[32] V
# Edge cases.
0 0 0 0 0
0 0 1 1 0
0 1 0 1 0
0 1 1 2 0
0 -1 0 -1 0
0 -1 1 0 0
0 2147483647 0 2147483647 0
0 2147483647 1 -2147483648 1
0 -2147483648 0 -2147483648 0
0 -2147483648 1 -2147483647 0
1 0 0 1 0
1 0 1 2 0
1 1 0 2 0
1 1 1 3 0
1 -1 0 0 0
1 -1 1 1 0
1 2147483647 0 -2147483648 1
1 2147483647 1 -2147483647 1
1 -2147483648 0 -2147483647 0
1 -2147483648 1 -2147483646 0
-1 0 0 -1 0
-1 0 1 0 0
-1 1 0 0 0
-1 1 1 1 0
-1 -1 0 -2 0
-1 -1 1 -1 0
-1 2147483647 0 2147483646 0
-1 2147483647 1 2147483647 0
-1 -2147483648 0 2147483647 1
-1 -2147483648 1 -2147483648 0
2147483647 0 0 2147483647 0
2147483647 0 1 -2147483648 1
2147483647 1 0 -2147483648 1
2147483647 1 1 -2147483647 1
2147483647 -1 0 2147483646 0
2147483647 -1 1 2147483647 0
2147483647 2147483647 0 -2 1
2147483647 2147483647 1 -1 1
2147483647 -2147483648 0 -1 0
2147483647 -2147483648 1 0 0
-2147483648 0 0 -2147483648 0
-2147483648 0 1 -2147483647 0
-2147483648 1 0 -2147483647 0
-2147483648 1 1 -2147483646 0
-2147483648 -1 0 2147483647 1
-2147483648 -1 1 -2147483648 0
-2147483648 2147483647 0 -1 0
-2147483648 2147483647 1 0 0
-2147483648 -2147483648 0 0 1
-2147483648 -2147483648 1 1 1
# Random tests (N=100).
-1562532227 -1836572568 1 895862502 1
-318698428 67340615 0 -251357813 0
182890105 890732394 0 1073622499 0
856352120 1261371899 1 2117724020 0
8019103 -1373429646 0 -1365410543 0
-863139186 -1633526654 0 1798301456 1
1660424742 -2069042950 0 -408618208 0
1677104406 1900636054 1 -717226835 1
593255817 -1637705202 0 -1044449385 0
-488910099 -1826614737 1 1979442461 1
-1363862828 -1596254943 0 1334849525 1
2145456389 966094089 0 -1183416818 1
-1528326299 1899212287 0 370885988 0
-2568612 1244885773 1 1242317162 0
284555034 -1604794346 0 -1320239312 0
-515929450 1381201850 1 865272401 0
-838030436 -1086118361 0 -1924148797 0
153398870 1223979301 1 1377378172 0
16047892 -1749586971 1 -1733539078 0
-534515892 998474769 0 463958877 0
-1447618861 -1793249529 0 1054098906 1
548276100 -1193041125 0 -644765025 0
-1788386941 -1789097769 0 717482586 1
-1746580418 1157715582 1 -588864835 0
1364412422 1119741438 1 -1810813435 1
-1724289582 1109170084 1 -615119497 0
1980817350 -449074518 1 1531742833 0
839620102 1232640524 1 2072260627 0
-332567523 -1647255362 1 -1979822884 0
1571763064 -2141838362 1 -570075297 0
2067029937 -1900037786 1 166992152 0
722663881 -659403959 0 63259922 0
246973751 -1540336906 1 -1293363154 0
682544418 -1464271089 0 -781726671 0
709770344 -1170214595 0 -460444251 0
-1879361976 1255888650 0 -623473326 0
-650153102 1924096508 1 1273943407 0
175468990 -665705403 1 -490236412 0
-736017412 1980652744 1 1244635333 0
2051487509 1099822736 0 -1143657051 1
-909508131 369352 1 -909138778 0
1013553102 1142587421 0 -2138826773 1
1486713005 -1329538773 0 157174232 0
-976138132 411059046 1 -565079085 0
-1853123137 499281650 0 -1353841487 0
-470509414 1586597398 0 1116087984 0
-368431514 -940778872 0 -1309210386 0
-1656037946 1217558135 1 -438479810 0
-1082821364 1057134764 1 -25686599 0
496503012 -1161421864 0 -664918852 0
-2117793560 -110367888 1 2066805849 1
-1751822231 -2053710540 0 489434525 1
-459117257 1553799602 0 1094682345 0
1866133179 -1270378629 1 595754551 0
696985020 -468736288 1 228248733 0
805794051 -2117837422 0 -1312043371 0
1058379585 -1807766785 0 -749387200 0
-1540136029 1751483128 0 211347099 0
2038279539 -535013606 0 1503265933 0
-215113033 81474520 0 -133638513 0
1382871269 850472521 1 -2061623505 1
994185466 1949530239 1 -1351251590 1
1919534169 -438997353 0 1480536816 0
1723749623 -1858242583 1 -134492959 0
-268286040 1829702290 0 1561416250 0
-1392954015 -1571734447 1 1330278835 1
-1569444822 -1778837177 1 946685298 1
1524246791 106361710 1 1630608502 0
1908069172 -1118394687 1 789674486 0
334128613 -387001564 0 -52872951 0
-553243865 134030864 1 -419213000 0
1612647259 -231795271 1 1380851989 0
-1004071271 -20796322 1 -1024867592 0
1852441991 -288169423 0 1564272568 0
-1032409501 -59600169 1 -1092009669 0
58171707 -346911313 0 -288739606 0
29465668 -1151513633 1 -1122047964 0
1746868162 793232366 1 -1754866767 1
-244411506 -680570506 0 -924982012 0
1070630876 1258526430 1 -1965809989 1
1355304274 2125706259 0 -813956763 1
347653259 1242344826 1 1589998086 0
5443674 744491211 0 749934885 0
-897306745 561565854 1 -335740890 0
-1726623361 -1828413717 0 739930218 1
1989789240 497035708 1 -1808142347 1
-837690594 605548149 0 -232142445 0
-1757143480 -999743431 1 1538080386 1
-1977805350 -436667743 0 1880494203 1
2113634912 242085697 1 -1939246686 1
2014659495 1169265775 1 -1111042025 1
-1988201076 935793473 1 -1052407602 0
253528151 -796642838 0 -543114687 0
2107312734 1613722275 0 -573932287 1
-459138080 2128070963 0 1668932883 0
817762135 -1253077306 1 -435315170 0
1104979808 -381986380 0 722993428 0
1880467558 -612513029 0 1267954529 0
863278934 712605958 0 1575884892 0
-635488548 -2119090630 0 1540388118 1
