# Generated test vector for CMP-32-BIT.
A[32] B[32] eq_gt le_gt C[32]
# Edge cases.
0 0 0 0 0
0 0 0 1 1
0 0 1 0 1
0 0 1 1 0
0 1 0 0 1
0 1 0 1 1
0 1 1 0 0
0 1 1 1 0
0 -1 0 0 1
0 -1 0 1 1
0 -1 1 0 0
0 -1 1 1 0
0 2147483647 0 0 1
0 2147483647 0 1 1
0 2147483647 1 0 0
0 2147483647 1 1 0
0 -2147483648 0 0 1
0 -2147483648 0 1 1
0 -2147483648 1 0 0
0 -2147483648 1 1 0
1 0 0 0 1
1 0 0 1 0
1 0 1 0 0
1 0 1 1 1
1 1 0 0 0
1 1 0 1 0
1 1 1 0 1
1 1 1 1 1
1 -1 0 0 1
1 -1 0 1 0
1 -1 1 0 0
1 -1 1 1 1
1 2147483647 0 0 1
1 2147483647 0 1 0
1 2147483647 1 0 0
1 2147483647 1 1 1
1 -2147483648 0 0 1
1 -2147483648 0 1 0
1 -2147483648 1 0 0
1 -2147483648 1 1 1
-1 0 0 0 1
-1 0 0 1 1
-1 0 1 0 0
-1 0 1 1 0
-1 1 0 0 1
-1 1 0 1 1
-1 1 1 0 0
-1 1 1 1 0
-1 -1 0 0 0
-1 -1 0 1 1
-1 -1 1 0 1
-1 -1 1 1 0
-1 2147483647 0 0 1
-1 2147483647 0 1 1
-1 2147483647 1 0 0
-1 2147483647 1 1 0
-1 -2147483648 0 0 1
-1 -2147483648 0 1 1
-1 -2147483648 1 0 0
-1 -2147483648 1 1 0
2147483647 0 0 0 1
2147483647 0 0 1 0
2147483647 0 1 0 0
2147483647 0 1 1 1
2147483647 1 0 0 1
2147483647 1 0 1 0
2147483647 1 1 0 0
2147483647 1 1 1 1
2147483647 -1 0 0 1
2147483647 -1 0 1 0
2147483647 -1 1 0 0
2147483647 -1 1 1 1
2147483647 2147483647 0 0 0
2147483647 2147483647 0 1 0
2147483647 2147483647 1 0 1
2147483647 2147483647 1 1 1
2147483647 -2147483648 0 0 1
2147483647 -2147483648 0 1 0
2147483647 -2147483648 1 0 0
2147483647 -2147483648 1 1 1
-2147483648 0 0 0 1
-2147483648 0 0 1 1
-2147483648 0 1 0 0
-2147483648 0 1 1 0
-2147483648 1 0 0 1
-2147483648 1 0 1 1
-2147483648 1 1 0 0
-2147483648 1 1 1 0
-2147483648 -1 0 0 1
-2147483648 -1 0 1 1
-2147483648 -1 1 0 0
-2147483648 -1 1 1 0
-2147483648 2147483647 0 0 1
-2147483648 2147483647 0 1 1
-2147483648 2147483647 1 0 0
-2147483648 2147483647 1 1 0
-2147483648 -2147483648 0 0 0
-2147483648 -2147483648 0 1 1
-2147483648 -2147483648 1 0 1
-2147483648 -2147483648 1 1 0
# Random tests (N=100).
357399659 1578518434 1 1 1
-1717818536 1632181865 1 0 0
1681267602 -468574033 0 1 0
-1430428119 -2070748297 0 1 1
-1372913990 -466586718 1 1 0
-578385878 883975836 1 0 0
-1761753116 -1672316212 1 0 0
201409249 -1283980218 0 0 1
-1233731192 -565410389 0 0 1
709363933 232260219 0 1 0
-522021426 -2090243602 0 1 1
-1691093031 381343629 0 1 1
-235779812 465837738 1 0 0
980179418 228638742 0 0 1
402381527 -1510075617 1 1 1
1269753936 980608341 1 0 0
2116292027 -547703537 1 1 1
-2115827769 -1906043356 1 1 0
1563904854 1065487998 0 1 0
1653528399 786622413 0 1 0
-551652252 -1896878869 0 1 1
2135537456 -1888027881 0 0 1
-2147181858 -1181372951 1 1 0
665204807 -171208414 0 0 1
-101497057 -740511101 0 0 1
-205913436 1387321135 0 0 1
-320892523 99497498 0 1 1
-1962322176 -2141509478 1 0 0
477974210 -228106035 0 0 1
-1044023747 -263540658 1 1 0
915914383 -1291648024 0 0 1
1686932511 1401367666 0 0 1
-22075449 2025183467 0 1 1
717451528 913567151 1 0 0
-1644668202 653998735 1 0 0
291435920 -86931206 1 0 0
2020049495 -2137172175 0 0 1
-1879835682 816324005 1 1 0
-388136246 -1990114624 0 0 1
1800034111 -1650732974 0 1 0
908386299 -2131472761 1 1 1
-277145541 595264059 0 1 1
1724665818 -1210564241 0 0 1
-1534523393 1829511467 1 1 0
519381815 -878777760 0 0 1
-1087438414 539495306 0 0 1
-682481234 -264430125 1 0 0
-1413801408 -1825209463 0 0 1
-1726671708 879858311 1 1 0
-1794891889 234703840 0 0 1
1497559878 301742928 0 0 1
452368587 -1562487463 1 1 1
1112806524 -53805332 1 1 1
479189329 -1217661631 0 1 0
-184735547 -1311074349 0 0 1
-27605268 640368260 0 1 1
266997119 -1904871660 0 1 0
200875218 889587613 1 0 0
-230413780 2144627925 1 1 0
-1775595092 -2077107200 1 0 0
977453362 -1059415778 1 0 0
-1534058672 134020459 1 1 0
967429980 783347163 1 0 0
-974224512 929809269 1 1 0
350881814 1536963168 0 1 0
1562799585 -1430146296 1 0 0
28997954 2036932845 0 0 1
-1117979621 -873387731 0 1 1
1253752123 -1898682003 0 1 0
-781450506 -1088399470 0 1 1
-951309850 79101964 1 1 0
-449219149 -2097700079 1 0 0
-1103589088 -1962229471 0 1 1
1962472506 860570541 0 1 0
1758861729 1466870597 1 0 0
-1316336714 -1065496427 1 1 0
651028806 -617506436 0 0 1
92636733 1991095810 0 1 0
-2051822184 1859730199 1 0 0
-1684433524 -392446251 1 1 0
1181226348 -1080766673 0 1 0
899662664 7159965 0 1 0
-867498330 -1817978969 0 0 1
233849209 1664048359 1 1 1
1912758476 -150547304 0 1 0
2068104462 2046876490 0 0 1
1894339046 201042212 0 1 0
-1395801118 -1228349305 0 0 1
-995537142 958551534 1 1 0
1181916930 -1586553096 1 0 0
-789860815 -643552183 0 0 1
1472224943 1803890734 1 1 1
-976898657 -2032139122 0 1 1
1668167471 -768193671 1 0 0
1374682977 -581260830 0 0 1
-1729739343 -1516128653 1 1 0
-2103778671 721858634 0 0 1
1666608553 145043740 1 1 1
731033195 22991798 0 0 1
-1201447856 -26495306 0 1 1
