# Generated test vector for LEFT-SHIFT-32-BIT.
# These tests were generated by a computer program to include both exhaustive edge case tests and random tests.
B[32] Sa[5] Cin C[32]
# Edge cases.
0 0 0 0
0 0 1 0
0 1 0 0
0 1 1 1
0 31 0 0
0 31 1 2147483647
1 0 0 1
1 0 1 1
1 1 0 2
1 1 1 3
1 31 0 2147483648
1 31 1 4294967295
4294967295 0 0 4294967295
4294967295 0 1 4294967295
4294967295 1 0 4294967294
4294967295 1 1 4294967295
4294967295 31 0 2147483648
4294967295 31 1 4294967295
# Random tests (N=100).
2565392913 14 1 847544319
59974799 26 1 1073741823
3908212403 10 0 3394948096
3137311386 10 1 4266290175
1115072630 1 0 2230145260
2389885805 20 1 920649727
705626171 18 0 15466496
178900796 29 1 2684354559
2349759250 11 0 1943572480
4054486217 0 1 4054486217
3734927395 7 0 1329336704
2859954192 7 1 1001916543
775104612 22 0 419430400
2012329521 21 0 3323985920
1033566183 30 1 4294967295
91077965 8 0 1841122560
3886143230 2 1 2659671035
3498925222 13 1 2878660607
2157651691 18 1 2612002815
140441801 6 0 398340672
1392413193 7 1 2135229695
1370018406 28 1 1879048191
611095404 17 0 651689984
3257136627 22 1 2097151999
2477086741 21 0 44040192
2635702784 28 0 0
4003751718 26 1 2617245695
3215670150 3 0 4250524720
4168363640 14 1 194920447
2645661341 11 0 2360666112
1300311344 28 0 0
3583460861 14 1 3514793983
1655074712 13 0 3455254528
3166633372 13 0 3753082880
3507754471 31 0 2147483648
1260242218 6 0 3346090624
3393766942 31 0 0
3688580579 23 1 4060086271
235925692 18 0 3270508544
862334504 2 1 3449338019
3889227533 8 0 3504803072
3639330511 19 0 913833984
2319279190 23 0 721420288
1443300609 0 1 1443300609
1695040827 18 1 351272959
610163607 28 1 2147483647
4058984955 20 0 531628032
2647887859 20 1 4282384383
779887758 22 0 595591168
3503198526 27 0 4026531840
1251761169 18 0 1883504640
2284578780 19 0 1054867456
1366511355 18 1 1005584383
4078748310 17 1 2234384383
119194107 0 0 119194107
3660022828 16 1 2217541631
3447409611 24 1 3422552063
2930951764 3 1 1972777639
3204108859 28 0 2952790016
159596611 2 1 638386447
504851092 13 0 3981606912
471217276 0 1 471217276
3615891113 9 1 205345791
3736313094 23 1 2206203903
3067917848 26 1 1677721599
522743247 26 0 1006632960
3740750924 14 1 3574808575
261394155 10 0 1379642368
3690672653 10 1 3972544511
1326958273 0 0 1326958273
3822018956 15 1 2965798911
3293773188 0 0 3293773188
2666306899 12 1 3386195967
465801131 19 0 2102919168
93938991 1 1 187877983
4263793118 28 1 4026531839
4165109749 5 0 139525792
3102665952 27 0 0
1401849254 0 1 1401849254
2780157165 0 0 2780157165
2416502521 0 0 2416502521
3901049068 2 0 2719294384
1352886447 25 1 1610612735
3541867133 16 0 2591883264
588199095 14 0 3442327552
2598963770 30 0 2147483648
486496011 14 0 3586310144
681782237 5 0 342195104
3451728118 16 1 821493759
2912794697 3 0 1827521096
892686438 14 0 1410957312
697331213 26 1 939524095
2452526656 16 0 2520776704
3270227266 5 1 1568057439
314126643 18 1 3301965823
617352780 29 1 2684354559
1927585882 22 0 377487360
2969148621 8 0 4187802880
2608934745 17 1 1588854783
1602967374 31 1 2147483647
