# Generated test vector for NEG-32-BIT.
B[32] C[32] V
# Edge cases.
0 0 0
1 -1 0
-1 1 0
2147483647 -2147483647 0
-2147483648 2147483647 1
# Random tests (N=100).
-1675725815 1675725815 0
-804318524 804318524 0
1426306933 -1426306933 0
756746882 -756746882 0
2025475463 -2025475463 0
-2123368787 2123368787 0
-1210015679 1210015679 0
-969685574 969685574 0
885096686 -885096686 0
-1827167368 1827167368 0
-1979921113 1979921113 0
-1473536547 1473536547 0
499483769 -499483769 0
-869075356 869075356 0
727413570 -727413570 0
-1389778143 1389778143 0
-1987704259 1987704259 0
-1271440992 1271440992 0
-2133161799 2133161799 0
-854193675 854193675 0
-1535603917 1535603917 0
1876076399 -1876076399 0
1556519607 -1556519607 0
-828413808 828413808 0
-961911974 961911974 0
1429411980 -1429411980 0
136114125 -136114125 0
-1749130651 1749130651 0
95439773 -95439773 0
770446164 -770446164 0
290415895 -290415895 0
-1830356113 1830356113 0
-717119739 717119739 0
855626686 -855626686 0
-371873061 371873061 0
-578937869 578937869 0
-367871889 367871889 0
592507836 -592507836 0
2078428242 -2078428242 0
-358360088 358360088 0
-1899495244 1899495244 0
-572976557 572976557 0
-444344912 444344912 0
-1293922835 1293922835 0
1251212357 -1251212357 0
676903672 -676903672 0
404523473 -404523473 0
1398556550 -1398556550 0
-817920311 817920311 0
1947858365 -1947858365 0
1725730353 -1725730353 0
-1315307742 1315307742 0
-1747506304 1747506304 0
2096014453 -2096014453 0
-777272515 777272515 0
-439456980 439456980 0
1661987464 -1661987464 0
1069923095 -1069923095 0
676163903 -676163903 0
106010252 -106010252 0
792494011 -792494011 0
1262306115 -1262306115 0
-111889801 111889801 0
583291080 -583291080 0
-1540844584 1540844584 0
-1983841091 1983841091 0
1936707623 -1936707623 0
-1702954450 1702954450 0
1643366674 -1643366674 0
2013409684 -2013409684 0
-268699402 268699402 0
1270964179 -1270964179 0
1438628511 -1438628511 0
1274877523 -1274877523 0
-751003379 751003379 0
10012345 -10012345 0
-568484872 568484872 0
205113384 -205113384 0
1266325873 -1266325873 0
-1066049320 1066049320 0
-1720955954 1720955954 0
-1010941676 1010941676 0
1940387018 -1940387018 0
-1196033203 1196033203 0
-2141153188 2141153188 0
362054652 -362054652 0
-878768155 878768155 0
1015407764 -1015407764 0
-1939372943 1939372943 0
1855542902 -1855542902 0
-245928166 245928166 0
-385019172 385019172 0
1244880690 -1244880690 0
-1956630722 1956630722 0
1776057506 -1776057506 0
2587287 -2587287 0
142826396 -142826396 0
615734028 -615734028 0
1305998371 -1305998371 0
76593266 -76593266 0
